MA	Mouse adult gross anatomy
PLO	Plasmodium life cycle
PD_ST	Platynereis stage ontology
PO	Plant Ontology
PAO	Plant Anatomy Ontology
PGDSO	Plant Growth and Development Stage
PORO	Porifera Ontology
PR	PRotein Ontology (PRO) PRERELEASE
ProPreO	Proteomics data and process provenance
MI	Protein-protein interaction
MOD	Protein modification
MS	Mass spectrometry
OBO_REL	OBO relationship types (legacy)
RO	Relation ontology
REX	Physico-chemical process
RNAO	RNA ontology
SAO	Subcellular anatomy ontology
SEP	Sample processing and separation techniques
SO	Sequence types and features PRERELEASE
SWO	Software ontology
SBO	Systems Biology
SOPHARM	Suggested Ontology for Pharmacogenomics
TAXRANK	Taxonomic rank vocabulary
TAO	Teleost Anatomy Ontology
TTO	Teleost taxonomy
TRANS	Pathogen transmission
SYMP	Symptom Ontology
GRO	Cereal plant development
TAHH	Terminology of Anatomy of Human Histology
TAHE	Terminology of Anatomy of Human Embryology
TADS	Tick gross anatomy
UBERON	Uber anatomy ontology
UO	Units of measurement
VO	Vaccine ontology
VAO	Vertebrate Musculoskeletal Anatomy Ontology
WBbt	C. elegans gross anatomy
WBls	C. elegans development
WBPhenotype	C. elegans phenotype
XAO	Xenopus anatomy and development
ZEA	Maize gross anatomy
ZFA	Zebrafish anatomy and development PRERELEASE
CMO	Clinical measurement ontology
MMO	Measurement method ontology
XCO	Experimental condition ontology
biological_process_xp_cellular_component	GO logical_definitions for BP in terms of CC
biological_process_xp_self	GO logical_definitions for BP in terms of BP
molecular_function_xp_regulators	GO logical_definitions for MF regulation terms
cellular_component_xp_self	GO cellular component internal logical definitions
cellular_component_xp_cell	GO cellular component to Cell ontology logical definitions
cellular_component_xp_go	GO cellular component logical definitions using BP and MF
biological_process_xp_multi_organism_process	GO logical definitions for multi-species regulation
GO_XP_INTERNAL	GO internal logical definitions
GO_XP_ALL	GO all logical definitions
biological_process_xp_cell	GO biological_process x cell logical definitions
biological_process_xp_uber_anatomy	GO biological_process x uberon definitions
molecular_function_xp_uber_anatomy	GO molecular_function x uberon definitions
biological_process_xp_plant_anatomy	GO biological_process x planton definitions
biological_process_xp_chebi	GO biological_process x CHEBI definitions
molecular_function_xp_chebi	GO molecular_function x CHEBI definitions
go_to_chebi	GO x chemical entity logical definitions
ro_proposed	Proposed new relations for RO
ro_ucdhsc	UCDHSC Relations
ENVO_XP	environmental entity logical definitions
TO_XP	plant_trait logical definitions
MP_XP	mammalian_phenotype logical definitions
HP_XP	human_phenotype logical definitions
HP_XP_FMA	human_phenotype x anatomy logical definitions 
HP_XP_REL	relations for human_phenotype_xp
HP_XP_ALL	HP all logical definitions, merged
WP_XP	worm_phenotype logical definitions
WP_XP_REL	relations for worm_phenotype_xp
WP_XP_WBbt	worm_phenotype x anatomy logical definitions 
WP_XP_WBbt_WBls	worm_phenotype x anatomy/stages logical definitions 
WP_XP_GO	worm_phenotype x GO logical definitions
WP_XP_CHEBI	worm_phenotype x CHEBI logical definitions
WP_XP_GO_CHEBI	worm_phenotype x GO+CHEBI logical definitions
SO_XP	Sequence Ontology logical definitions
FBbt_XP	Fly Anatomy Ontology, pre-reasoned version
uberon_anatomy_ontologies_bridge	is_a links to uberon terms
OBO_REL_BFO_BRIDGE	RO BFO domain and range constraints
PATO_BFO_BRIDGE	PATO BFO constraints
caro_to_bfo	CARO to BFO is_a mappings
CL-EMAPA	CL to EMAPA mappings
COG2GO	cog2go mapping
EC2GO	ec2go mapping
EGAD2GO	egad2go mapping
GENPROTECGO	genprotec2go mapping
HAMAP2GO	hamap2go mapping
INTERPRO2GO	interpro2go mapping
METACYC2GO	metacyc2go mapping
MIPS2GO	mips2go mapping
MULTIFUN2GO	multifun2go mapping
PFAM2GO	pfam2go mapping
PRINTS2GO	prints2go mapping
PRODOM2GO	prodom2go mapping
PROSITE2GO	prosite2go mapping
REACTOM2GO	reactome2go mapping
RFAMGO	rfam2go mapping
SMART2GO	smart2go mapping
SPKW2GO	spkw2go mapping
TIGR2GO	tigr2go mapping
TIGRFAMS2GO	tigrfams2go mapping
UMBBDENZYMEID2GO	um-bbd_enzymeid2go mapping
UMBBDPATHWAYID2GO	um-bbd_pathwayid2go mapping
vHOG_ASSOC	vHOG_associations
ma2ncit	Adult Mouse Anatomy to NCI thesauris
GO_XRF_ABBS	GO database cross-references metadata
oboInOwl	OBO metamodel
GAZ	
